,tweet_id,retweet_count,favorite_count
0,892420643555336193,6909,32989
1,892177421306343426,5207,28531
2,891815181378084864,3434,21445
3,891689557279858688,7122,35992
4,891327558926688256,7640,34422
5,891087950875897856,2561,17326
6,890971913173991426,1626,10110
7,890729181411237888,15515,55541
8,890609185150312448,3573,23903
9,890240255349198849,6017,27258
10,890006608113172480,6060,26364
11,889880896479866881,4104,23920
12,889665388333682689,8215,40981
13,889638837579907072,3666,23090
14,889531135344209921,1861,13016
15,889278841981685760,4382,21527
16,888917238123831296,3706,24977
17,888804989199671297,3482,21894
18,888554962724278272,2845,16897
19,888078434458587136,2855,18653
20,887705289381826560,4466,25922
21,887517139158093824,9704,39661
22,887473957103951883,14814,58824
23,887343217045368832,8668,28833
24,887101392804085760,4921,26255
25,886983233522544640,6218,29644
26,886736880519319552,2585,10249
27,886680336477933568,3685,19236
28,886366144734445568,2593,18070
29,886267009285017600,4,103
30,886258384151887873,5194,23921
31,886054160059072513,91,0
32,885984800019947520,5531,27907
33,885528943205470208,5258,30794
34,885518971528720385,3062,17481
35,885311592912609280,15212,0
36,885167619883638784,3621,18760
37,884925521741709313,14778,65746
38,884876753390489601,4596,23760
39,884562892145688576,3853,20781
40,884441805382717440,4741,23237
41,884247878851493888,16660,62054
42,884162670584377345,2467,17467
43,883838122936631299,2822,18650
44,883482846933004288,8132,39150
45,883360690899218434,3032,19435
46,883117836046086144,5457,31708
47,882992080364220416,3203,20459
48,882762694511734784,4044,24189
49,882627270321602560,4983,23976
50,882268110199369728,9469,38317
51,882045870035918850,4025,25065
52,881906580714921986,2805,20896
53,881666595344535552,8809,43389
54,881633300179243008,8,112
55,881536004380872706,13207,42358
56,881268444196462592,4427,19903
57,880935762899988482,2297,14636
58,880872448815771648,3164,18250
59,880465832366813184,5143,24420
60,880221127280381952,3421,23069
61,880095782870896641,3598,23681
62,879862464715927552,2887,19193
63,879674319642796034,9,280
64,879492040517615616,2596,20165
65,879415818425184262,36881,90733
66,879376492567855104,2618,14478
67,879130579576475649,5639,0
68,879050749262655488,3893,19298
69,879008229531029506,2209,16336
70,878776093423087618,3382,16652
71,878604707211726852,5829,25814
72,878404777348136964,1055,0
73,878316110768087041,5448,0
74,878281511006478336,1055,6600
75,878057613040115712,5639,36054
76,877736472329191424,15570,67667
77,877556246731214848,3117,19379
78,877316821321428993,4277,23559
79,877201837425926144,4556,23279
80,876838120628539392,2767,17741
81,876537666061221889,3910,20412
82,876484053909872640,1967,16130
83,876120275196170240,3858,24031
84,875747767867523072,3531,21539
85,875144289856114688,4106,18934
86,875097192612077568,5027,23592
87,875021211251597312,3917,21933
88,874680097055178752,3863,23903
89,874434818259525634,12067,0
90,874296783580663808,3435,22394
91,874057562936811520,3333,19511
92,874012996292530176,8466,29334
93,873580283840344065,3292,20812
94,873337748698140672,1315,0
95,873213775632977920,1315,6169
96,872967104147763200,4494,23494
97,872820683541237760,3120,12761
98,872620804844003328,3019,17786
99,872486979161796608,7581,35115
100,872122724285648897,6735,29499
101,871879754684805121,9118,32247
102,871762521631449091,2927,17415
103,871515927908634625,2894,17440
104,871166179821445120,4829,0
105,871102520638267392,4603,18097
106,871032628920680449,3184,19667
107,870804317367881728,5209,29041
108,870726314365509632,3,101
109,870656317836468226,2162,10615
110,870374049280663552,22306,71618
111,870308999962521604,3502,18994
